NODES,Tb,PD,QD,Pct,Ict,Zct
1,1,0,0,0,0,1
2,0,387.09,254.3625,0,0,1
3,0,0,0,0,0,1
4,0,387.09,254.3625,0,0,1
5,0,387.09,254.3625,0,0,1
6,0,0,0,0,0,1
7,0,0,0,0,0,1
8,0,387.09,254.3625,0,0,1
9,0,387.09,254.3625,0,0,1
10,0,0,0,0,0,1
11,0,387.09,254.3625,0,0,1
12,0,230.571,149.94,0,0,1
13,0,121.176,80.325,0,0,1
14,0,121.176,80.325,0,0,1
15,0,121.176,80.325,0,0,1
16,0,22.7205,13.3875,0,0,1
17,0,387.09,254.3625,0,0,1
18,0,387.09,254.3625,0,0,1
19,0,387.09,254.3625,0,0,1
20,0,387.09,254.3625,0,0,1
21,0,387.09,254.3625,0,0,1
22,0,387.09,254.3625,0,0,1
23,0,387.09,254.3625,0,0,1
24,0,387.09,254.3625,0,0,1
25,0,387.09,254.3625,0,0,1
26,0,387.09,254.3625,0,0,1
27,0,230.571,151.725,0,0,1
28,0,126.225,85.68,0,0,1
29,0,126.225,85.68,0,0,1
30,0,126.225,85.68,0,0,1
31,0,95.931,66.9375,0,0,1
32,0,95.931,66.9375,0,0,1
33,0,95.931,66.9375,0,0,1
34,0,95.931,66.9375,0,0,1
